																														Public/Private	Public	Public	Public	Public	Public	Public	Public	Public	Public	Public	Public	Public	Public	Public	Public	Public	Public	Public
1209	14.823	642.6145	CE 16:0	[M+NH4]+		0.278	TRUE	14.89	642.61835	C43H76O2	CE	BBJQPKLGPMQWBU-UHFFFAOYNA-N	CCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCCC(C)C	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	98.9	99.8	64.3	69.9	100	126.68	160824_Liver_AA_Pos_20	642.6145:828 643.61785:570 644.62121:190	121.10706:10 135.12148:10 147.12447:10 161.13188:20 175.15753:20 215.19055:10 250.94557:20 369.34311:102	2.081486776	1.458662989	1.263727346	3.138592751	34.46153846	2.450937027	1.696742545	2.057904176	3.359567066	1.42788049	2.329587612	3.00817086	1.86791805	2.178202677	2.733177006	1.938255664	1.839958098	0.038125496
1202	14.443	640.60529	CE 16:1	[M+NH4]+	similar chromatogram in higher mz_2287; adduct linked to 1218_[M+K]+; similar chromatogram in higher mz_1607	0.833	TRUE	14.48	640.60272	C43H74O2	CE	HODJWNWCVNUPAQ-SEYXRHQNNA-N	CCCCCC\C=C/CCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCCC(C)C	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	98.5	100	45.7	70	100	307.46	160824_Liver_normal_Pos_04	640.60107:2729 641.60442:2592 642.60778:471	71.09216:10 85.10639:10 95.08082:20 107.08314:20 121.10244:20 135.1133:20 144.98967:10 147.11591:31 161.13007:51 173.12807:10 179.18567:10 189.16434:31 193.20641:10 201.16452:51 205.19876:20 226.98561:31 233.22202:31 243.21013:41 247.23561:31 257.22885:20 268.9913:20 271.24753:10 273.27289:10 313.29858:10 336.83484:21 361.26367:10 369.35349:280	4.654753395	2.647891413	3.389559102	4.006633499	9.846153846	3.661506227	4.917378603	3.779656674	7.486045613	3.819330681	6.923382978	5.493406682	5.28877189	10.77913138	4.756910396	10.25096842	12.88715591	0.088959492
1281	14.857	668.62677	CE 18:1	[M+NH4]+		0.611	TRUE	15.12	668.63403	C45H78O2	CE	RJECHNNFRHZQKU-PFONDFGANA-N	CCCCCCCC\C=C/CCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCCC(C)C	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	99.4	97.8	59.4	69.3	100	901.16	160824_Liver_DHA_Pos_11	668.63342:4951 669.63677:3511 670.64013:1544	93.07355:10 109.10472:20 133.10715:10 147.11102:31 147.13327:10 161.13033:61 175.14653:51 205.19699:10 217.19879:41 226.98799:10 233.23088:31 235.2542:10 247.2403:31 257.22684:31 268.99155:10 287.27411:20 326.30978:10 362.93649:10 368.20218:21 369.35367:451	15.62258756	14.28003194	14.45496348	24.83203032	0	18.44162496	25.76156093	15.64745068	20.92926169	15.82151494	24.1389322	16.7753418	15.5293579	33.24293909	27.54096497	29.12642329	39.93528487	0.076250993
1278	14.533	666.61755	CE 18:2	[M+NH4]+	similar chromatogram in higher mz_2437; similar chromatogram in higher mz_1498; adduct linked to 1290_[M+H]+; similar chromatogram in higher mz_2195; similar chromatogram in higher mz_2883; similar chromatogram in higher mz_2882	0.889	TRUE	14.67	666.61835	C45H76O2	CE	NAACPBBQTFFYQB-HDXUUTQWNA-N	CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCCC(C)C	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	99.4	99.4	57	69.4	100	1366.13	160824_Liver_DHA_Pos_14	666.61707:8630 667.62042:8510 668.62378:740	79.05491:10 83.08799:31 109.10151:10 133.11014:10 147.11761:20 159.12512:10 161.13008:41 175.14816:31 191.17813:20 201.16658:10 215.18013:10 233.22855:31 235.24969:10 243.2234:10 278.93933:10 287.28116:10 364.12009:10 369.3591:214	24.18870622	22.92051971	22.28661077	31.59061834	0	44.56384589	44.20349446	35.37791442	36.99976807	37.0949372	31.57158987	30.00922255	24.39647476	34.70439771	36.19981525	35.63235121	41.35063726	0.136616362
1272	14.269	664.59448	CE 18:3	[M+NH4]+		0.444	TRUE	14.34	664.60272	C45H74O2	CE	FYMCIBHUFSIWCE-ORZIMQNZNA-N	CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCCC(C)C	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	90.1	99.8	19.1	69.4	100	116.77	160824_Liver_normal_Pos_05	664.59406:962 665.59741:1060 666.60077:0	89.06027:20 93.07364:10 128.95197:10 149.13911:10 161.12869:31 175.14484:20 226.98396:10 233.18588:20 245.97099:10 247.24942:20 257.22711:20 262.97934:10 274.91318:10 283.17365:10 356.91168:10 369.35135:112 440.20227:20 495.2644:20 496.2634:51 535.34259:10 551.30872:20 552.33289:31 608.39209:20 647.55829:10 664.45544:20	3.659756969	1.375045365	2.427048959	2.767116797	34.46153846	2.711675009	2.511602271	2.664616961	3.968148434	3.210234808	3.970966181	3.339535636	4.061806112	5.768915597	2.992396788	2.779668975	3.583076296	0.057188245
1332	15.555	684.66412	CE 19:0	[M+NH4]+	adduct linked to 1350_[M+H]+	0.944	TRUE	15.43	684.66528	C46H82O2	CE	VHYWECIJXTVRSG-UHFFFAOYNA-N	CCCCCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCCC(C)C	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	99.4	99.5	55.4	69	100	583.95	160824_Liver_AA_Pos_19	684.66559:9784 685.66894:7216 686.6723:2270	71.08384:8 77.03579:4 77.0457:1 79.05245:9 81.0685:22 83.0842:16 85.09862:10 91.04687:2 91.0536:7 91.06437:1 93.07064:9 95.08363:33 97.09453:3 97.10148:14 105.06777:10 107.08323:13 109.10014:35 111.10911:3 111.11803:15 119.08485:21 121.10413:19 123.11376:21 125.13046:9 125.14782:3 128.95172:3 133.09891:15 135.1151:48 137.12662:2 137.13158:11 143.08154:1 145.09521:4 147.1144:63 149.13202:40 151.14777:12 153.15961:3 159.11467:14 161.13388:105 163.14781:20 165.16336:11 173.12277:5 173.13391:11 175.14842:75 177.16331:11 179.17841:19 183.89845:1 184.97722:6 187.14807:13 189.16467:47 191.17842:12 193.19695:15 201.15088:4 201.16489:31 203.17902:50 205.19104:20 207.20892:9 215.18047:63 217.19063:27 219.20595:25 221.22218:5 225.04735:3 226.97968:11 229.19357:45 229.50339:1 231.20578:8 233.23109:46 235.23927:11 239.0938:3 241.18835:3 243.21501:63 245.23029:14 247.245:32 249.27016:3 252.91206:1 257.22488:41 259.24045:52 261.2525:14 263.95496:1 266.98248:3 268.99881:6 271.24115:6 273.24084:2 273.25717:31 275.27127:3 285.25021:8 287.24103:3 287.27689:44 299.27264:7 313.2868:9 316.9158:3 327.29739:2 341.32764:3 348.98935:6 355.07251:2 359.02081:4 368.20288:6 369.35165:978 390.99124:3 416.94058:1 429.08438:2 430.98322:2 684.38483:3 684.4328:3	35.68834882	25.79139145	33.87481742	42.15493959	0	35.28157374	41.52962575	43.83499872	27.83146502	36.1763008	40.37378354	48.07895801	36.81263592	29.17323136	29.99218361	39.06937434	27.04812896	16.47656871
1354	14.396	690.60925	CE 20:4	[M+NH4]+	adduct linked to 1362_[M+H]+; similar chromatogram in higher mz_1607	0.333	TRUE	14.43	690.61835	C47H76O2	CE	HZUAPDDXDDVFOX-GKFVBPDJNA-N	CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCCC(C)C	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	93.6	100	63.2	68.8	100	285.34	160824_Liver_normal_Pos_05	690.60925:5505 691.6126:3533 692.61596:1512	95.08361:31 133.10048:10 144.9847:10 147.11261:31 149.13884:10 161.13559:41 175.14459:41 201.17477:10 203.19498:10 215.17413:20 217.20297:10 227.17299:10 243.21045:41 259.24936:31 302.97916:10 322.94437:10 362.92612:21 369.34863:404	50.39599714	55.34093054	46.07930755	51.93840322	29.53846154	2.942614364	2.546877584	2.972072765	3.265558562	2.885716515	3.172643691	3.758919181	4.277898592	14.60759355	15.64868898	13.75560512	20.5039865	0.069896743
1343	14.149	688.60474	CE 20:5	[M+NH4]+	similar chromatogram in higher mz_1933; similar chromatogram in higher mz_2458; adduct linked to 1360_[M+H]+; similar chromatogram in higher mz_1905; similar chromatogram in higher mz_2426	0.278	TRUE	14.36	688.60272	C47H74O2	CE	XZFUGMCJZFRBKF-QXPWYRSVNA-N	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCCC(C)C	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	98.7	98.7	51.1	68.9	100	634.78	160824_Liver_EPA_Pos_09	688.6015:4075 689.60485:3387 690.60821:1284	79.05744:10 81.06592:31 85.10899:10 107.08753:10 121.11023:10 147.11423:61 159.11983:10 161.13011:82 165.15591:20 165.17043:10 175.15007:41 189.16248:20 201.19263:10 210.12717:10 215.18018:31 217.21112:20 229.20178:51 243.19925:20 243.20145:51 257.61835:10 270.98285:10 273.25208:31 287.27405:31 324.17496:10 368.20493:10 369.34558:391	0.314510365	0.227625753	0.190424669	0.223643686	24.61538462	3.423117216	4.187179629	3.75506021	6.526169308	17.19447695	20.33313619	21.09861662	17.93201328	0.709751434	0.918638528	0.78506867	0.804516091	0
1396	14.303	714.6098	CE 22:6	[M+NH4]+	adduct linked to 1404_[M+H]+; similar chromatogram in higher mz_2307	0.333	TRUE	14.3	714.61835	C49H76O2	CE	VOEVEGPMRIYYKC-MMRRFZAGNA-N	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCCC(C)C	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	94.1	100	50.4	68.3	100	392.33	160824_Liver_EPA_Pos_09	714.61035:1796 715.6137:2091 716.61706:139	95.08644:20 107.08765:10 119.0864:10 133.10703:10 144.92017:10 161.13559:71 165.17415:10 189.16646:10 201.17072:10 215.18854:10 219.21199:20 233.22437:20 235.24765:10 243.21252:41 244.9583:10 257.22681:20 271.23843:10 287.28604:20 299.26978:10 334.8674:10 368.21033:21 369.35101:279 640.89001:10	3.293781272	4.482833708	4.296672978	4.427386875	0	21.10115237	22.76668688	21.50550858	32.3389254	7.573757703	9.256411635	9.298924035	12.84102095	4.031248293	5.534569743	9.499706538	9.82924984	0.069896743
817	8.445	482.45197	Cer-NS d18:1/12:0	[M+H]+	ion correlated with 870; adduct linked to 870_[M+IsoProp+Na+H]+; similar chromatogram in higher mz_964	0.944	TRUE	8.53	482.45676	C30H59NO3	Cer_NS	HXFPPRPLRSPNIB-WJTDDFOZNA-N	CCCCCCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCCCC	Chain resolved	TRUE	TRUE	TRUE	IS (Yes)	TRUE	null	null	100	99.8	92	88.4	100	797.77	160824_Liver_normal_Pos_04	482.4566:13630 483.45995:7498 484.46331:1619	79.04961:31 82.05949:61 82.0761:10 89.05296:31 93.07162:20 95.08324:41 117.08057:10 200.20078:61 252.26537:265 262.25821:20 263.44769:31 264.26816:2518 282.27835:306 411.29736:10 446.43369:31 464.45972:71	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64
1017	7.511	562.41754	CerP d18:1/12:0	[M+H]+		0.833	TRUE	7.8	562.42365	C30H60NO6P	CerP	KXEMZGPJXBKYJP-VARSQMIESA-N	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCC	Chain resolved	TRUE	TRUE	TRUE	IS (Yes)	TRUE	null	null	97	97.1	63.7	28.1	100	40.3	160824_Liver_AA_Pos_19	562.42358:892 563.42693:664 564.43029:190	82.06487:15 224.19719:10 247.19608:5 264.24835:15 264.26669:173 440.73865:5 446.41721:20 461.63766:5 544.41742:10	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64
1066	11.823	586.54358	DAG 16:0-16:0	[M+NH4]+	similar chromatogram in higher mz_985	0.611	TRUE	11.91	586.54053	C35H68O5	DAG	JEJLGIQLPYYGEE-UHFFFAOYNA-N	CCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCCCCCC	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	100	99.8	75.4	80.9	100	76.36	160824_Liver_EPA_Pos_06	586.54047:533 587.54382:213 588.54718:105	81.07096:4 83.08283:2 95.08629:4 109.09708:2 128.95479:6 191.11186:2 239.23531:6 313.27142:39 360.92355:2 551.49432:20	0.340479864	0.687661061	0.614033833	0.910210231	15.37809187	0.716287457	0.47821885	0.478005417	0.645007955	0.417376835	0.333161829	0.428012106	0.581410705	0.569812655	0.433813095	0.389508861	0.267632118	0.009268685
1067	11.871	586.54553	DAG 16:0-16:0	[M+NH4]+		0.111	TRUE	11.91	586.54053	C35H68O5	DAG	JEJLGIQLPYYGEE-UHFFFAOYNA-N	CCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCCCCCC	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	100	100	73.5	80.5	100	93.83	160824_Liver_normal_Pos_04	586.54388:641 587.54723:567 588.55059:191	85.09991:7 95.08774:7 99.1124:3 123.11372:3 233.00047:3 239.25076:10 313.27164:58 533.85217:3 551.49469:31	0.311539075	0.397874354	0.396446156	0.58643885	12.89045936	0.615666123	0.406056484	0.467902264	0.428065846	0.403281557	0.395145425	0.42349721	0.578209105	0.530929657	0.328400568	0.415432911	0.286791464	0.027260839
1062	10.672	584.52167	DAG 16:0-16:1	[M+NH4]+	ion correlated with 1076; adduct linked to 1076_[M+H]+	0.889	TRUE	10.63	584.52484	C35H66O5	DAG	ADLOEVQMJKYKSR-PEZBUJJGNA-N	CCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCC\C=C/CCCCCC	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	100	99.9	70.7	90.2	100	131.53	160824_Liver_AA_Pos_17	584.52277:1227 585.52612:435 586.52948:133	104.99121:10 219.21872:10 256.99213:10 285.24341:41 304.94269:10 311.25272:82 313.27469:92 339.2901:20 549.48651:51	0.606054158	1.143306399	0.754867281	1.189542403	2.148409894	0.988021904	0.611089236	0.580299839	0.909328225	0.50899614	0.55656104	0.654659866	0.874677339	1.717921527	1.31927833	1.379159494	0.950183829	0.011994769
1056	9.924	582.49951	DAG 14:0-18:2	[M+NH4]+	similar chromatogram in higher mz_1652	0.333	TRUE	9.86	582.50922	C35H64O5	DAG	WVBVUWWRPSWGDS-BIXSNLIQNA-N	CCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	100	99.9	57.6	88.1	100	84.87	160824_Liver_DHA_Pos_11	582.50476:773 583.50811:0 584.51147:0	278.91324:10 285.23523:20 335.00656:10 337.27255:41 547.48853:20 575.43829:20	0.318348673	0.521802431	0.313354422	0.753879441	1.469964664	0.43943667	0.243404804	0.440750041	0.654151109	0.387620137	0.360279653	0.451489563	0.226033017	0.417108519	0.31867018	0.41996962	0.271823225	0.009813902
1138	13.011	614.5755	DAG 16:0-18:0	[M+NH4]+		0.722	TRUE	12.39	614.57178	C37H72O5	DAG	ONCLVQFEAFTXMN-UHFFFAOYNA-N	CCCCCCCCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCCCCCCCCC	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	100	88.6	70.4	85.3	100	119.2	160824_Liver_AA_Pos_17	614.56885:695 615.5722:898 616.57556:241	71.08521:31 85.10532:10 89.05885:51 128.94711:10 133.08444:41 151.10632:10 239.24229:20 313.27939:41 330.93201:10 341.30682:82 386.85654:10 577.89264:10 579.52179:61	0.308985476	0.647594089	0.604879659	0.545967427	83.22261484	0.44227908	0.402620181	0.390234277	0.325828761	0.257630354	0.344783754	0.331393339	0.348974487	0.416401555	0.47354551	0.523665823	0.338880937	0.197368477
1126	12.042	612.55109	DAG 16:0-18:1	[M+NH4]+	ion correlated with 1127; adduct linked to 1238_[M+H]+; adduct linked to 1144_[M+H]+; adduct linked to 1172_[M+H]+	0.333	TRUE	12.21	612.55615	C37H70O5	DAG	YEJYLHKQOBOSCP-ZCXUNETKNA-N	CCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCC\C=C/CCCCCCCC	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	100	99	76.9	90.5	100	809.47	160824_Liver_EPA_Pos_09	612.55255:3364 613.5559:1680 614.55926:465	71.08354:11 79.05465:3 81.06818:8 83.08259:10 85.1022:6 95.07779:4 95.08467:16 97.09975:6 107.09017:3 109.09978:9 111.08049:3 111.11618:5 121.09909:10 123.11182:7 125.13323:2 127.14725:1 128.94974:5 133.08061:1 135.11635:4 137.13449:4 149.13161:3 163.14198:2 165.16293:3 177.15912:4 190.07928:1 191.18576:2 197.01573:2 202.92924:1 218.95279:2 221.228:5 224.03206:1 239.09111:3 239.2373:12 241.08925:2 247.23561:8 257.24698:7 262.97885:2 265.25116:12 268.99597:3 275.25436:2 279.02179:2 287.01099:2 299.07443:2 302.97638:2 311.2518:2 313.27628:132 321.27029:2 338.22961:2 339.29172:145 341.30881:3 343.00256:2 350.88907:2 355.06128:2 398.9567:2 403.77603:1 444.99289:2 520.84039:2 550.80219:1 553.4743:2 575.74042:1 577.51917:115 595.53961:2	3.298398681	5.428608867	4.85734562	6.000086795	1.017667845	5.962240352	4.141890683	3.634609218	5.524958603	4.018720291	3.553080516	3.037621779	3.770845423	7.30505479	7.426718021	5.16083038	4.637160525	0.031077357
