Class	Adduct	Ion mode	IsSelected
PS_d5	[M+Na]+	Positive	FALSE
PG_d5	[M+NH4]+	Positive	FALSE
TG_d5	[M+NH4]+	Positive	FALSE
TG_d5	[M+Na]+	Positive	FALSE
PC_d5	[M+CH3COO]-	Negative	FALSE
PC_d5	[M+HCOO]-	Negative	FALSE
PE_d5	[M-H]-	Negative	FALSE
PG_d5	[M-H]-	Negative	FALSE
PS_d5	[M-H]-	Negative	FALSE
CE_d7	[M+NH4]+	Positive	FALSE
#CE_d7	[M+Na]+	Positive	FALSE
SM_d9	[M+CH3COO]-	Negative	FALSE
SM_d9	[M+HCOO]-	Negative	FALSE
Cer_NS_d7	[M+H]+	Positive	FALSE
Cer_NS_d7	[M-H]-	Negative	FALSE
Cer_NS_d7	[M+HCOO]-	Negative	FALSE
Cer_NS_d7	[M+CH3COO]-	Negative	FALSE
#Cer_NS_d7	[M+Na]+	Positive	FALSE
SM_d9	[M+H]+	Positive	FALSE
SM_d9	[M+Na]+	Positive	FALSE
PI_d5	[M-H]-	Negative	FALSE
PI_d5	[M+NH4]+	Positive	FALSE
PI_d5	[M+Na]+	Positive	FALSE
DG_d5	[M+NH4]+	Positive	FALSE
DG_d5	[M+Na]+	Positive	FALSE
LPC_d5	[M+H]+	Positive	FALSE
LPC_d5	[M+Na]+	Positive	FALSE
LPE_d5	[M+H]+	Positive	FALSE
LPC_d5	[M+CH3COO]-	Negative	FALSE
LPC_d5	[M+HCOO]-	Negative	FALSE
LPE_d5	[M-H]-	Negative	FALSE
LPS_d5	[M-H]-	Negative	FALSE
LPG_d5	[M-H]-	Negative	FALSE
LPI_d5	[M-H]-	Negative	FALSE
bmPC	[M+H]+	Positive	FALSE
bmPC	[M+Na]+	Positive	FALSE
bmPC	[M+CH3COO]-	Negative	FALSE
bmPC	[M+HCOO]-	Negative	FALSE
BisMeLPA	[M+H]+	Positive	FALSE
BisMeLPA	[M+NH4]+	Positive	FALSE
Cer_ABP	[M+H]+	Positive	True
Cer_ABP	[M-H]-	Negative	True
Cer_ABP	[M+HCOO]-	Negative	True
Cer_ABP	[M+CH3COO]-	Negative	True
